; c211 color library
clone,procedure,2,http://www.cs.indiana.edu/cgi-pub/c211/wombat/docs/c211-turtle.htm#clone
live-display,parameter,2,http://www.cs.indiana.edu/cgi-pub/c211/wombat/docs/c211-turtle.htm#live-display
live-delay,parameter,2,http://www.cs.indiana.edu/cgi-pub/c211/wombat/docs/c211-turtle.htm#live-deplay
block,syntax,2,http://www.cs.indiana.edu/cgi-pub/c211/wombat/docs/c211-turtle.htm#block
repeat,syntax,2,http://www.cs.indiana.edu/cgi-pub/c211/wombat/docs/c211-turtle.htm#repeat
move!,procedure,2,http://www.cs.indiana.edu/cgi-pub/c211/wombat/docs/c211-turtle.htm#move!
move-to!,procedure,2,http://www.cs.indiana.edu/cgi-pub/c211/wombat/docs/c211-turtle.htm#move-to!
teleport!,procedure,2,http://www.cs.indiana.edu/cgi-pub/c211/wombat/docs/c211-turtle.htm#teleport!
turtle-location,procedure,2,http://www.cs.indiana.edu/cgi-pub/c211/wombat/docs/c211-turtle.htm#turtle-location
turn-left!,procedure,2,http://www.cs.indiana.edu/cgi-pub/c211/wombat/docs/c211-turtle.htm#turn-left!
turn-right!,procedure,2,http://www.cs.indiana.edu/cgi-pub/c211/wombat/docs/c211-turtle.htm#turn-right!
turn-counter-clockwise!,procedure,2,http://www.cs.indiana.edu/cgi-pub/c211/wombat/docs/c211-turtle.htm#turn-counter-clockwise!
turn-clockwise!,procedure,2,http://www.cs.indiana.edu/cgi-pub/c211/wombat/docs/c211-turtle.htm#turn-clockwise!
turn!,procedure,2,http://www.cs.indiana.edu/cgi-pub/c211/wombat/docs/c211-turtle.htm#turn!
turn-to!,procedure,2,http://www.cs.indiana.edu/cgi-pub/c211/wombat/docs/c211-turtle.htm#turn-to!
turtle-direction,procedure,2,http://www.cs.indiana.edu/cgi-pub/c211/wombat/docs/c211-turtle.htm#turtle-direction
lift-pen!,procedure,2,http://www.cs.indiana.edu/cgi-pub/c211/wombat/docs/c211-turtle.htm#lift-pen!
drop-pen!,procedure,2,http://www.cs.indiana.edu/cgi-pub/c211/wombat/docs/c211-turtle.htm#drop-pen!
pen-up/down,procedure,2,http://www.cs.indiana.edu/cgi-pub/c211/wombat/docs/c211-turtle.htm#pen-up/down
set-pen-color!,procedure,2,http://www.cs.indiana.edu/cgi-pub/c211/wombat/docs/c211-turtle.htm#set-pen-color!
pen-color,procedure,2,http://www.cs.indiana.edu/cgi-pub/c211/wombat/docs/c211-turtle.htm#pen-color
draw-turtle,procedure,2,http://www.cs.indiana.edu/cgi-pub/c211/wombat/docs/c211-turtle.htm#draw-tutle
turtle->image,procedure,2,http://www.cs.indiana.edu/cgi-pub/c211/wombat/docs/c211-turtle.htm#turtle->image

; C211 csv library
csv,library,2,http://www.cs.indiana.edu/cgi-pub/c211/wombat/docs/c211-csv.htm
read-csv,procedure,2,http://www.cs.indiana.edu/cgi-pub/c211/wombat/docs/c211-csv.htm#read-csv
write-csv,procedure,2,http://www.cs.indiana.edu/cgi-pub/c211/wombat/docs/c211-csv.htm#write-csv

; http://www.scheme.com/csug8/summary.html
$primitive,syntax,2,http://www.scheme.com/csug8/system.html#./system:s88
*,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s91
+,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s89
-,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s90
-1+,procedure,2,http://www.scheme.com/csug8/numeric.html#./numeric:s68
/,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s92
1+,procedure,2,http://www.scheme.com/csug8/numeric.html#./numeric:s68
1-,procedure,2,http://www.scheme.com/csug8/numeric.html#./numeric:s68
<,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s88
<=,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s88
=,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s88
>,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s88
>=,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s88
abort,procedure,2,http://www.scheme.com/csug8/system.html#./system:s119
abs,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s105
acos,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s132
acosh,procedure,2,http://www.scheme.com/csug8/numeric.html#./numeric:s77
acquire-lock,procedure,2,http://www.scheme.com/csug8/threads.html#./threads:s20
add1,procedure,2,http://www.scheme.com/csug8/numeric.html#./numeric:s68
alias,syntax,2,http://www.scheme.com/csug8/syntax.html#./syntax:s36
and,syntax,5,http://www.scheme.com/tspl4/control.html#./control:s11
andmap,procedure,2,http://www.scheme.com/csug8/control.html#./control:s5
angle,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s124
annotation-expression,procedure,2,http://www.scheme.com/csug8/syntax.html#./syntax:s49
annotation-source,procedure,2,http://www.scheme.com/csug8/syntax.html#./syntax:s50
annotation-stripped,procedure,2,http://www.scheme.com/csug8/syntax.html#./syntax:s51
annotation?,procedure,2,http://www.scheme.com/csug8/syntax.html#./syntax:s48
append,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s49
append!,procedure,2,http://www.scheme.com/csug8/objects.html#./objects:s13
apply,procedure,2,http://www.scheme.com/tspl4/control.html#./control:s3
apropos,procedure,2,http://www.scheme.com/csug8/system.html#./system:s38
apropos-list,procedure,2,http://www.scheme.com/csug8/system.html#./system:s37
ash,procedure,2,http://www.scheme.com/csug8/numeric.html#./numeric:s52
asin,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s132
asinh,procedure,2,http://www.scheme.com/csug8/numeric.html#./numeric:s77
assert,syntax,2,http://www.scheme.com/tspl4/exceptions.html#./exceptions:s5
assertion-violation,procedure,2,http://www.scheme.com/tspl4/exceptions.html#./exceptions:s4
assertion-violation?,procedure,2,http://www.scheme.com/tspl4/exceptions.html#./exceptions:s21
assertion-violationf,procedure,2,http://www.scheme.com/csug8/system.html#./system:s2
assoc,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s58
assp,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s60
assq,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s58
assv,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s58
atan,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s133
atanh,procedure,2,http://www.scheme.com/csug8/numeric.html#./numeric:s77
atom?,procedure,2,http://www.scheme.com/csug8/objects.html#./objects:s2
begin,syntax,2,http://www.scheme.com/tspl4/control.html#./control:s4
bignum?,procedure,2,http://www.scheme.com/csug8/numeric.html#./numeric:s11
binary-port-input-buffer,procedure,2,http://www.scheme.com/csug8/io.html#./io:s14
binary-port-input-count,procedure,2,http://www.scheme.com/csug8/io.html#./io:s16
binary-port-input-index,procedure,2,http://www.scheme.com/csug8/io.html#./io:s14
binary-port-input-size,procedure,2,http://www.scheme.com/csug8/io.html#./io:s14
binary-port-output-buffer,procedure,2,http://www.scheme.com/csug8/io.html#./io:s18
binary-port-output-count,procedure,2,http://www.scheme.com/csug8/io.html#./io:s20
binary-port-output-index,procedure,2,http://www.scheme.com/csug8/io.html#./io:s18
binary-port-output-size,procedure,2,http://www.scheme.com/csug8/io.html#./io:s18
binary-port?,procedure,2,http://www.scheme.com/tspl4/io.html#./io:s45
bitwise-and,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s134
bitwise-arithmetic-shift,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s144
bitwise-arithmetic-shift-left,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s143
bitwise-arithmetic-shift-right,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s143
bitwise-bit-count,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s136
bitwise-bit-field,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s141
bitwise-bit-set?,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s139
bitwise-copy-bit,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s140
bitwise-copy-bit-field,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s142
bitwise-first-bit-set,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s138
bitwise-if,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s135
bitwise-ior,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s134
bitwise-length,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s137
bitwise-not,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s134
bitwise-reverse-bit-field,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s146
bitwise-rotate-bit-field,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s145
bitwise-xor,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s134
block-read,procedure,2,http://www.scheme.com/csug8/io.html#./io:s62
block-write,procedure,2,http://www.scheme.com/csug8/io.html#./io:s77
boolean=?,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s271
boolean?,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s14
bound-identifier=?,procedure,2,http://www.scheme.com/tspl4/syntax.html#./syntax:s37
box,procedure,2,http://www.scheme.com/csug8/objects.html#./objects:s43
box?,procedure,2,http://www.scheme.com/csug8/objects.html#./objects:s42
break,procedure,2,http://www.scheme.com/csug8/system.html#./system:s17
buffer-mode,syntax,2,http://www.scheme.com/tspl4/io.html#./io:s27
buffer-mode?,syntax,2,http://www.scheme.com/tspl4/io.html#./io:s28
bwp-object?,procedure,2,http://www.scheme.com/csug8/smgmt.html#./smgmt:s23
bytes-allocated,procedure,2,http://www.scheme.com/csug8/system.html#./system:s157
bytevector,procedure,2,http://www.scheme.com/csug8/objects.html#./objects:s33
bytevector->s8-list,procedure,2,http://www.scheme.com/csug8/objects.html#./objects:s34
bytevector->sint-list,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s260
bytevector->string,procedure,2,http://www.scheme.com/tspl4/io.html#./io:s91
bytevector->u8-list,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s252
bytevector->uint-list,procedure,2,http://www.scheme.com/tspl4/objects.html#./objects:s260
